Mois;Qualité;Territoire;Production totale;Consommation totale;Solde exportateur
2014-06;Données définitives;France;39366;32608;5967
2014-06;Données définitives;Ile-de-France;149;4815;-4666
2014-06;Données définitives;Occitanie;2192;2484;-534
2014-06;Données définitives;Normandie;6237;1844;4392
2014-06;Données définitives;Hauts-de-France;2472;3669;-1197
2014-06;Données définitives;PACA;1042;2901;-1866
2014-06;Données définitives;Pays-de-la-Loire;309;1809;-1500
2014-07;Données consolidées;Grand-Est;8924;3346;5465
2014-07;Données définitives;Nouvelle-Aquitaine;3973;3123;850
2014-07;Données définitives;Auvergne-Rhône-Alpes;9473;4823;4305
2014-07;Données définitives;Bourgogne-Franche-Comté;152;1499;-1346
2014-07;Données définitives;Bretagne;163;1501;-1343
2014-07;Données définitives;Centre-Val de Loire;6305;1289;5016
2014-07;Données définitives;France;42722;33935;7928
2014-07;Données définitives;Ile-de-France;126;4889;-4763
2014-07;Données définitives;Occitanie;2245;2585;-535
2014-07;Données définitives;Normandie;6817;1900;4916
2014-07;Données définitives;Hauts-de-France;2837;3740;-903
2014-07;Données définitives;PACA;1313;3167;-1861
2014-07;Données définitives;Pays-de-la-Loire;267;1894;-1627
2014-08;Données consolidées;Grand-Est;8625;2952;5562
2014-08;Données définitives;Nouvelle-Aquitaine;2682;2893;-210
2014-08;Données définitives;Auvergne-Rhône-Alpes;9052;4299;4447
2014-08;Données définitives;Bourgogne-Franche-Comté;142;1290;-1147
2014-08;Données définitives;Bretagne;171;1437;-1270
2014-08;Données définitives;Centre-Val de Loire;5330;1170;4160
2014-08;Données définitives;France;39407;31004;7606
2014-08;Données définitives;Ile-de-France;116;4355;-4238
2014-08;Données définitives;Occitanie;2165;2497;-557
2014-08;Données définitives;Normandie;6515;1793;4721
2014-08;Données définitives;Hauts-de-France;3188;3393;-204
2014-08;Données définitives;PACA;1088;3044;-1959
2014-08;Données définitives;Pays-de-la-Loire;198;1693;-1495
2014-09;Données consolidées;Grand-Est;8938;3345;5497
2014-09;Données définitives;Nouvelle-Aquitaine;3237;2961;275
2014-09;Données définitives;Auvergne-Rhône-Alpes;9236;4716;4209
2014-09;Données définitives;Bourgogne-Franche-Comté;135;1480;-1344
2014-09;Données définitives;Bretagne;135;1476;-1344
2014-09;Données définitives;Centre-Val de Loire;4875;1296;3579
2014-09;Données définitives;France;39183;33266;5121
2014-09;Données définitives;Ile-de-France;214;4874;-4659
2014-09;Données définitives;Occitanie;2290;2551;-452
2014-09;Données définitives;Normandie;5686;1899;3787
2014-09;Données définitives;Hauts-de-France;2951;3783;-831
2014-09;Données définitives;PACA;950;2922;-1972
2014-09;Données définitives;Pays-de-la-Loire;419;1806;-1386
2014-10;Données consolidées;Grand-Est;8992;3741;5142
2014-10;Données définitives;Nouvelle-Aquitaine;3333;3150;183
2014-10;Données définitives;Auvergne-Rhône-Alpes;9205;5085;3755
2014-10;Données définitives;Bourgogne-Franche-Comté;108;1669;-1561
2014-10;Données définitives;Bretagne;204;1643;-1443
2014-10;Données définitives;Centre-Val de Loire;5793;1461;4331
2014-10;Données définitives;France;41312;36301;4108
2014-10;Données définitives;Ile-de-France;287;5535;-5248
2014-10;Données définitives;Occitanie;1692;2549;-1083
2014-10;Données définitives;Normandie;6284;2150;4133
2014-10;Données définitives;Hauts-de-France;3759;4179;-419
2014-10;Données définitives;PACA;1127;2996;-1869
2014-10;Données définitives;Pays-de-la-Loire;426;1987;-1561
2014-11;Données consolidées;Grand-Est;10023;4011;5925
2014-11;Données définitives;Nouvelle-Aquitaine;4133;3592;540
2014-11;Données définitives;Auvergne-Rhône-Alpes;9949;5643;3909
2014-11;Données définitives;Bourgogne-Franche-Comté;196;1807;-1611
2014-11;Données définitives;Bretagne;267;1899;-1635
