City,Colors Reported,Shape Reported,State,Time,hour
Terre Haute,ORANGE,CIRCLE,IN,6/15/1955 0:00,00:00
Missouri,,LIGHT,MO,6/15/1955 4:30,00:00
Youngstown,,,PA,6/15/1955 8:00,00:00
Daytona Beach,,FIREBALL,FL,6/15/1955 21:00,00:00
Rantoul,,LIGHT,IL,6/17/1955 7:00,00:00
Beach Haven Park,,DISK,NJ,6/23/1955 7:00,00:00
Quartz Hill,,DISK,CA,6/30/1955 0:00,00:00
Lubbock,,CIGAR,TX,6/30/1955 13:00,00:00
Dumas,,LIGHT,TX,6/30/1955 21:00,00:00
Morehead City,,DISK,NC,6/30/1955 21:00,00:00
Carnation,,DISK,WA,7/1/1955 14:00,00:00
Dierks,,CIGAR,AR,7/1/1955 22:00,00:00
Woodland Park,,OVAL,CO,7/15/1955 14:00,00:00
Ringold,,LIGHT,LA,7/15/1955 22:00,00:00
Newtown Square,,CIRCLE,PA,8/6/1955 19:00,00:00
Independence,,FIREBALL,MO,8/8/1955 1:00,00:00
Madisonville,,LIGHT,KY,8/14/1955 1:00,00:00
Eagle Pass,,CIGAR,TX,8/15/1955 0:01,00:00
Covina,,DISK,CA,8/17/1955 21:00,00:00
Bullhead,,DISK,AZ,9/10/1955 23:00,00:00
Mono Lake,,CIRCLE,CA,10/1/1955 22:00,00:00
West Covina,GREEN,,CA,10/9/1955 18:00,00:00
Rhinebeck,,LIGHT,NY,10/15/1955 20:00,00:00
Weirton,,DISK,WV,1/1/1956 5:30,00:00
Petaluma,,OVAL,CA,3/1/1956 13:00,00:00
Bowie,,DISK,MD,3/20/1956 20:00,00:00
Hampton,,SPHERE,MN,3/22/1956 17:30,00:00
Canton,,CIGAR,OH,5/1/1956 12:00,00:00
Pine castle AFB,,LIGHT,FL,5/15/1956 20:00,00:00
Ada,,CIRCLE,OK,5/17/1956 10:22,00:00
Belton,,OTHER,MO,6/1/1956 19:00,00:00
Memphis,ORANGE,CYLINDER,TN,6/1/1956 20:00,00:00
Elmore,,SPHERE,AL,6/5/1956 0:00,00:00
Salt Lake City,,CIRCLE,UT,6/5/1956 0:00,00:00
Upper Glade,,EGG,WV,6/6/1956 12:00,00:00
Akron,,OTHER,OH,6/6/1956 22:00,00:00
Edroy,,,TX,6/15/1956 1:00,00:00
San Francisco,,OTHER,CA,6/15/1956 12:15,00:00
Palo Alto,,FIREBALL,CA,6/15/1956 18:00,00:00
Richfield Springs,,CIGAR,NY,6/15/1956 18:00,00:00
Vista,ORANGE,CIGAR,CA,6/15/1956 19:15,00:00
